# Chunk-averaged data for fix FRHO and group all
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount density/number
100000 513 4199.999999999999
  503 50.25 0.182 0.00622431
  504 50.35 0.208 0.0071135
  505 50.45 0.242 0.00827628
  506 50.55 0.208 0.0071135
  507 50.65 0.22 0.00752389
  508 50.75 0.178 0.00608751
  509 50.85 0.216 0.0073871
  510 50.95 0.19 0.00649791
  511 51.05 0.212 0.0072503
  512 51.15 0.22 0.00752389
  513 51.25 0.228 0.00779749
