Binary LJ intro data file

864 atoms

2 atom types

0.0 10.25985568 xlo xhi
0.0 10.25985568 ylo yhi
0.0 10.25985568 zlo zhi

Masses

1 1.0
2 1.0

Atoms # atomic

573 2 5.12992784 8.54987973 8.54987973
574 2 5.98491581 9.40486771 8.54987973
575 2 5.98491581 8.54987973 9.40486771
576 2 5.12992784 9.40486771 9.40486771
577 1 6.83990379 0.00000000 0.00000000
578 2 7.69489176 0.85498797 0.00000000
579 1 7.69489176 0.00000000 0.85498797
580 1 6.83990379 0.85498797 0.85498797
581 2 6.83990379 0.00000000 1.70997595
582 2 7.69489176 0.85498797 1.70997595
583 2 7.69489176 0.00000000 2.56496392
584 1 6.83990379 0.85498797 2.56496392
585 1 6.83990379 0.00000000 3.41995189
586 2 7.69489176 0.85498797 3.41995189
587 2 7.69489176 0.00000000 4.27493987
588 2 6.83990379 0.85498797 4.27493987
589 1 6.83990379 0.00000000 5.12992784
590 2 7.69489176 0.85498797 5.12992784
591 2 7.69489176 0.00000000 5.98491581
592 2 6.83990379 0.85498797 5.98491581
593 1 6.83990379 0.00000000 6.83990379
594 2 7.69489176 0.85498797 6.83990379
595 2 7.69489176 0.00000000 7.69489176
596 1 6.83990379 0.85498797 7.69489176
597 2 6.83990379 0.00000000 8.54987973
598 2 7.69489176 0.85498797 8.54987973
599 1 7.69489176 0.00000000 9.40486771
600 2 6.83990379 0.85498797 9.40486771
601 1 6.83990379 1.70997595 0.00000000
602 1 7.69489176 2.56496392 0.00000000
603 1 7.69489176 1.70997595 0.85498797
604 2 6.83990379 2.56496392 0.85498797
605 2 6.83990379 1.70997595 1.70997595
606 1 7.69489176 2.56496392 1.70997595
607 2 7.69489176 1.70997595 2.56496392
608 1 6.83990379 2.56496392 2.56496392
609 2 6.83990379 1.70997595 3.41995189
610 1 7.69489176 2.56496392 3.41995189
611 1 7.69489176 1.70997595 4.27493987
612 1 6.83990379 2.56496392 4.27493987
613 2 6.83990379 1.70997595 5.12992784
