bin                 q                   two_theta           Fx                  Icoh               
343                 3.435000            49.810747           -1.021167           0.395870           
344                 3.445000            49.965685           -0.998079           2.132359           
345                 3.455000            50.120722           -0.987931           2.886321           
346                 3.465000            50.275856           -0.986470           2.985551           
347                 3.475000            50.431089           -0.989131           2.776922           
348                 3.485000            50.586421           -0.991500           2.591415           
349                 3.495000            50.741853           -0.989739           2.713107           
350                 3.505000            50.897385           -0.980932           3.354125           
351                 3.515000            51.053017           -0.963345           4.637103           
352                 3.525000            51.208750           -0.936561           6.586116           
353                 3.535000            51.364585           -0.901512           9.126477           
354                 3.545000            51.520522           -0.860384           12.093181          
355                 3.555000            51.676561           -0.816409           15.247159          
356                 3.565000            51.832703           -0.773574           18.298036          
357                 3.575000            51.988949           -0.736246           20.931628          
358                 3.585000            52.145298           -0.708762           22.840096          
359                 3.595000            52.301752           -0.695000           23.752547          
360                 3.605000            52.458311           -0.697968           23.463794          
361                 3.615000            52.614976           -0.719441           21.859144          
362                 3.625000            52.771746           -0.759675           18.933338          
363                 3.635000            52.928623           -0.817216           14.802109          
364                 3.645000            53.085607           -0.888828           9.705359           
365                 3.655000            53.242698           -0.969550           4.001438           
366                 3.665000            53.399897           -1.052867           -1.847369          
367                 3.675000            53.557205           -1.131018           -7.297501          
368                 3.685000            53.714622           -1.195398           -11.753713         
369                 3.695000            53.872149           -1.237047           -14.603953         
370                 3.705000            54.029785           -1.247200           -15.257471         
371                 3.715000            54.187533           -1.217855           -13.183890         
372                 3.725000            54.345391           -1.142337           -7.950833          
373                 3.735000            54.503361           -1.015811           0.742253           
374                 3.745000            54.661444           -0.835723           13.036269          
375                 3.755000            54.819639           -0.602130           28.892506          
376                 3.765000            54.977947           -0.317897           48.082027          
377                 3.775000            55.136370           0.011249            70.185317          
378                 3.785000            55.294907           0.376830            94.602567          
379                 3.795000            55.453558           0.767880            120.574355         
380                 3.805000            55.612326           1.171357            147.211861         
381                 3.815000            55.771209           1.572684            173.535224         
382                 3.825000            55.930209           1.956403            198.518139         
383                 3.835000            56.089327           2.306886            221.136405         
384                 3.845000            56.248562           2.609099            240.417906         
385                 3.855000            56.407915           2.849345            255.491340         
386                 3.865000            56.567388           3.015976            265.631074         
387                 3.875000            56.726979           3.100014            270.295668         
388                 3.885000            56.886691           3.095652            269.157918         
389                 3.895000            57.046524           3.000616            262.124708         
390                 3.905000            57.206478           2.816347            249.345497         
391                 3.915000            57.366554           2.548012            231.208859         
392                 3.925000            57.526752           2.204318            208.327145         
393                 3.935000            57.687073           1.797163            181.509946         
394                 3.945000            57.847518           1.341108            151.727672         
395                 3.955000            58.008087           0.852726            120.067070         
396                 3.965000            58.168781           0.349839            87.680942          
397                 3.975000            58.329600           -0.149306           55.734648          
398                 3.985000            58.490546           -0.626884           25.352143          
399                 3.995000            58.651618           -1.066326           -2.435674          
400                 4.005000            58.812817           -1.453077           -26.737643         
401                 4.015000            58.974144           -1.775264           -46.841681         
402                 4.025000            59.135600           -2.024213           -62.244777         
403                 4.035000            59.297185           -2.194813           -72.672164         
404                 4.045000            59.458900           -2.285692           -78.084761         
405                 4.055000            59.620745           -2.299201           -78.674598         
406                 4.065000            59.782721           -2.241210           -74.848607         
407                 4.075000            59.944829           -2.120724           -67.201731         
408                 4.085000            60.107070           -1.949344           -56.480905         
409                 4.095000            60.269443           -1.740602           -43.541928         
410                 4.105000            60.431950           -1.509201           -29.301578         
411                 4.115000            60.594591           -1.270210           -14.687602         
412                 4.125000            60.757368           -1.038250           -0.589254          
413                 4.135000            60.920280           -0.826721           12.188976          
414                 4.145000            61.083328           -0.647100           22.968004          
415                 4.155000            61.246513           -0.508370           31.227078          
416                 4.165000            61.409836           -0.416579           36.627318          
417                 4.175000            61.573298           -0.374578           39.024754          
418                 4.185000            61.736898           -0.381940           38.472308          
419                 4.195000            61.900638           -0.435055           35.210807          
420                 4.205000            62.064519           -0.527418           29.649678          
421                 4.215000            62.228540           -0.650055           22.338567          
422                 4.225000            62.392704           -0.792104           13.931585          
423                 4.235000            62.557010           -0.941485           5.146290           
424                 4.245000            62.721459           -1.085635           -3.280257          
425                 4.255000            62.886053           -1.212263           -10.635828         
426                 4.265000            63.050790           -1.310087           -16.275314         
427                 4.275000            63.215674           -1.369504           -19.658576         
428                 4.285000            63.380703           -1.383161           -20.381816         
