# Time-averaged data for fix FRDF
# TimeStep Number-of-rows
# Row c_CRDF[1] c_CRDF[2] c_CRDF[3]
10000 200
164 2.04375 1.22612 27.4459
165 2.05625 1.22358 28.0957
166 2.06875 1.26134 28.7737
167 2.08125 1.2098 29.4319
168 2.09375 1.23016 30.1093
169 2.10625 1.22962 30.7944
170 2.11875 1.20736 31.4752
171 2.13125 1.22799 32.1758
172 2.14375 1.20525 32.8715
173 2.15625 1.1761 33.5583
174 2.16875 1.18952 34.261
175 2.18125 1.16596 34.9578
176 2.19375 1.133 35.6427
177 2.20625 1.12308 36.3293
178 2.21875 1.12467 37.0247
179 2.23125 1.09477 37.7093
180 2.24375 1.08322 38.3942
181 2.25625 1.07614 39.0823
182 2.26875 1.04966 39.7609
183 2.28125 1.04193 40.442
184 2.29375 1.02454 41.119
185 2.30625 1.01215 41.7952
186 2.31875 0.992881 42.4657
187 2.33125 0.999859 43.1482
188 2.34375 0.980588 43.8248
189 2.35625 0.970772 44.5018
190 2.36875 0.930484 45.1575
191 2.38125 0.937469 45.8252
192 2.39375 0.912778 46.4821
193 2.40625 0.940247 47.1659
194 2.41875 0.937464 47.8548
195 2.43125 0.923377 48.5403
196 2.44375 0.911351 49.2239
197 2.45625 0.899908 49.9059
198 2.46875 0.901407 50.5959
199 2.48125 0.885907 51.281
200 2.49375 0.871047 51.9613
50000 200
1 0.00625 0 0
2 0.01875 0 0
3 0.03125 0 0
4 0.04375 0 0
5 0.05625 0 0
6 0.06875 0 0
7 0.08125 0 0
8 0.09375 0 0
9 0.10625 0 0
10 0.11875 0 0
11 0.13125 0 0
12 0.14375 0 0
13 0.15625 0 0
14 0.16875 0 0
15 0.18125 0 0
16 0.19375 0 0
17 0.20625 0 0
18 0.21875 0 0
19 0.23125 0 0
20 0.24375 0 0
21 0.25625 0 0
22 0.26875 0 0
23 0.28125 0 0
24 0.29375 0 0
25 0.30625 0 0
26 0.31875 0 0
27 0.33125 0 0
28 0.34375 0 0
29 0.35625 0 0
30 0.36875 0 0
31 0.38125 0 0
32 0.39375 0 0
33 0.40625 0 0
34 0.41875 0 0
35 0.43125 0 0
36 0.44375 0 0
37 0.45625 0 0
38 0.46875 0 0
39 0.48125 0 0
40 0.49375 0 0
41 0.50625 0 0
42 0.51875 0 0
43 0.53125 0 0
44 0.54375 0 0
45 0.55625 0 0
46 0.56875 0 0
47 0.58125 0 0
48 0.59375 0 0
49 0.60625 0 0
50 0.61875 0 0
51 0.63125 0 0
52 0.64375 0 0
53 0.65625 0 0
54 0.66875 0 0
55 0.68125 0 0
56 0.69375 0 0
57 0.70625 0 0
58 0.71875 0 0
59 0.73125 0 0
60 0.74375 0 0
61 0.75625 0 0
62 0.76875 0 0
63 0.78125 0 0
64 0.79375 0 0
65 0.80625 0 0
66 0.81875 0 0
67 0.83125 0 0
68 0.84375 0 0
69 0.85625 0 0
70 0.86875 0 0
71 0.88125 0 0
72 0.89375 0.000973337 9.76563e-05
73 0.90625 0.0104134 0.00117187
74 0.91875 0.0322381 0.00458984
75 0.93125 0.0887561 0.0142578
76 0.94375 0.188554 0.0353516
77 0.95625 0.381768 0.0791992
78 0.96875 0.620518 0.152344
79 0.98125 0.929421 0.264746
80 0.99375 1.29354 0.425195
81 1.00625 1.6248 0.631836
82 1.01875 1.93652 0.884277
83 1.03125 2.19107 1.17695
84 1.04375 2.42652 1.50898
85 1.05625 2.49695 1.85889
86 1.06875 2.65194 2.23936
87 1.08125 2.63221 2.62588
88 1.09375 2.67768 3.02822
89 1.10625 2.59273 3.42676
90 1.11875 2.4643 3.81416
91 1.13125 2.40528 4.20078
92 1.14375 2.26147 4.57236
93 1.15625 2.0814 4.92188
94 1.16875 1.96369 5.25879
