time                 x                    y                    z                    total               
305.000000           16.205776            16.905391            14.501306            47.612472           
306.000000           16.266206            16.962380            14.549393            47.777979           
307.000000           16.326928            17.018679            14.597641            47.943248           
308.000000           16.387481            17.075505            14.645613            48.108599           
309.000000           16.447972            17.131962            14.694127            48.274061           
310.000000           16.508724            17.187540            14.742906            48.439171           
311.000000           16.570082            17.242718            14.791556            48.604356           
312.000000           16.631387            17.298186            14.839896            48.769469           
313.000000           16.693610            17.353305            14.888851            48.935766           
314.000000           16.755203            17.408101            14.937895            49.101199           
315.000000           16.816687            17.462880            14.986864            49.266432           
316.000000           16.878424            17.517974            15.035879            49.432278           
317.000000           16.939601            17.573566            15.084465            49.597632           
318.000000           17.000560            17.629567            15.133127            49.763253           
319.000000           17.061474            17.685570            15.182549            49.929592           
320.000000           17.123377            17.741474            15.232082            50.096933           
321.000000           17.185159            17.797251            15.281436            50.263846           
322.000000           17.246692            17.853515            15.330919            50.431125           
323.000000           17.308641            17.909738            15.380302            50.598682           
324.000000           17.369380            17.965463            15.429650            50.764493           
325.000000           17.430566            18.020030            15.479601            50.930197           
326.000000           17.491942            18.074772            15.530326            51.097040           
327.000000           17.554114            18.129623            15.580713            51.264449           
328.000000           17.616655            18.184345            15.630542            51.431543           
329.000000           17.679030            18.238080            15.679840            51.596949           
330.000000           17.741504            18.291572            15.729244            51.762321           
331.000000           17.804006            18.346092            15.779542            51.929640           
332.000000           17.865592            18.400507            15.830130            52.096229           
333.000000           17.926642            18.455070            15.880390            52.262102           
334.000000           17.987193            18.509465            15.930372            52.427030           
335.000000           18.047862            18.563868            15.980107            52.591837           
336.000000           18.108517            18.618327            16.029603            52.756448           
337.000000           18.169945            18.672724            16.079696            52.922365           
338.000000           18.231473            18.726384            16.129761            53.087618           
339.000000           18.292500            18.781243            16.179694            53.253437           
340.000000           18.354007            18.835847            16.229957            53.419812           
341.000000           18.415996            18.890163            16.280329            53.586487           
342.000000           18.477293            18.945008            16.331586            53.753886           
343.000000           18.538443            18.999946            16.383258            53.921647           
344.000000           18.599003            19.055340            16.434025            54.088369           
345.000000           18.658553            19.111195            16.483916            54.253664           
346.000000           18.719010            19.167150            16.534791            54.420951           
347.000000           18.779967            19.223097            16.585072            54.588136           
348.000000           18.841304            19.278911            16.635797            54.756012           
349.000000           18.902531            19.335233            16.686173            54.923937           
350.000000           18.963896            19.390836            16.736255            55.090988           
351.000000           19.026060            19.446509            16.786881            55.259450           
352.000000           19.086750            19.503319            16.838067            55.428136           
353.000000           19.147660            19.559996            16.889723            55.597379           
354.000000           19.209001            19.616968            16.941085            55.767054           
355.000000           19.270312            19.673384            16.991466            55.935161           
356.000000           19.331948            19.730945            17.042177            56.105070           
