# time  <Rg>_chains  <Rg^2>_chains
6.940000000000000000e+02 1.070118976396442712e+00 1.217209880833577174e+00
6.960000000000000000e+02 1.053537329789331789e+00 1.186704184335628298e+00
6.980000000000000000e+02 1.082115591911190444e+00 1.252999534733909570e+00
7.000000000000000000e+02 1.080718477109755549e+00 1.248569783742903283e+00
7.020000000000000000e+02 1.089594157691867959e+00 1.266024874839208891e+00
7.040000000000000000e+02 1.105953365192933191e+00 1.307804576809569852e+00
7.060000000000000000e+02 1.097908037672463699e+00 1.294014993416299220e+00
7.080000000000000000e+02 1.108040491470654754e+00 1.326830886809061028e+00
7.100000000000000000e+02 1.084402297060368836e+00 1.258210003329105930e+00
7.120000000000000000e+02 1.074840531273240307e+00 1.242146340665438942e+00
7.140000000000000000e+02 1.097551733643911787e+00 1.284137806790871750e+00
7.160000000000000000e+02 1.074338420236432778e+00 1.219358831322738368e+00
7.180000000000000000e+02 1.086753548019559590e+00 1.250060930189718533e+00
7.200000000000000000e+02 1.059061722799958360e+00 1.185306777967493730e+00
7.220000000000000000e+02 1.069719143360006619e+00 1.210914419344229387e+00
7.240000000000000000e+02 1.101355512334324604e+00 1.298245263025572527e+00
7.260000000000000000e+02 1.099698486951713905e+00 1.289177609065427887e+00
7.280000000000000000e+02 1.103129968638573821e+00 1.296734353144318064e+00
7.300000000000000000e+02 1.099504065791139684e+00 1.307296228620844047e+00
7.320000000000000000e+02 1.100197239828366147e+00 1.302409095576441800e+00
7.340000000000000000e+02 1.109383071270285459e+00 1.318821744092304016e+00
7.360000000000000000e+02 1.121221561062726302e+00 1.331724313026105833e+00
7.380000000000000000e+02 1.076096571688913262e+00 1.235641747703233762e+00
7.400000000000000000e+02 1.089838974423825935e+00 1.282642890458804530e+00
7.420000000000000000e+02 1.080095553660276764e+00 1.260087184952375594e+00
7.440000000000000000e+02 1.092375342072184452e+00 1.270164269493285758e+00
7.460000000000000000e+02 1.090424595693871179e+00 1.262144084072245320e+00
7.480000000000000000e+02 1.088739185946713928e+00 1.259142850133162739e+00
7.500000000000000000e+02 1.107067672735341013e+00 1.308359174526660951e+00
7.520000000000000000e+02 1.108436736500915121e+00 1.299110243097176820e+00
7.540000000000000000e+02 1.086822326493787294e+00 1.258708345237106840e+00
